name,var_name,var_value,region,type,carrier,tech
battery-storage,flow_in_elec,0.0,,storage,electricity,battery
battery-storage,flow_out_elec,0.0,,storage,electricity,battery
battery-storage,invest,-0.0,,storage,electricity,battery
battery-storage,invest_costs,-0.0,,storage,electricity,battery
battery-storage,invest_costs_in_elec,-0.0,,storage,electricity,battery
battery-storage,invest_costs_out_elec,-0.0,,storage,electricity,battery
battery-storage,invest_in_elec,-0.0,,storage,electricity,battery
battery-storage,invest_out_elec,-0.0,,storage,electricity,battery
battery-storage,storage_losses,0.0,,storage,electricity,battery
inverter,flow_in_elec,467.19188899999995,,conversion,electricity,inverter
inverter,flow_out_elec,420.472688,,conversion,electricity,inverter
inverter,invest_costs_out_elec,4372.9159968,,conversion,electricity,inverter
inverter,invest_out_elec,233.59594,,conversion,electricity,inverter
pv,flow_out_elec,467.19188899999995,,volatile,electricity,pv
pv,invest_costs_out_elec,66341.247102,,volatile,electricity,pv
pv,invest_out_elec,519.10209,,volatile,electricity,pv
pv-panel,flow_in_bus,0.0,,conversion,electricity,pv_panel
pv-panel,flow_out_elec,0.0,,conversion,electricity,pv_panel
pv-panel,invest_costs_out_elec,-0.0,,conversion,electricity,pv_panel
pv-panel,invest_out_elec,-0.0,,conversion,electricity,pv_panel
backup-electricity-grid,flow_out_elec,0.0,,dispatchable,electricity,source
backup-electricity-grid,invest_costs_out_elec,-0.0,,dispatchable,electricity,source
backup-electricity-grid,invest_out_elec,-0.0,,dispatchable,electricity,source
backup-electricity-grid,summed_variable_costs_out_elec,0.0,,dispatchable,electricity,source
mimo,flow_in_bus,0.0,,,water,mimo
mimo,flow_in_elec,300.472688,,,water,mimo
mimo,flow_out_bus,90.1418075,,,water,mimo
mimo,flow_out_bus,60.0945387,,,water,mimo
mimo,invest_costs_out_bus,9978.2946312,,,water,mimo
mimo,invest_out_bus,34.719188,,,water,mimo
seawater-source,flow_out_bus,0.0,,dispatchable,water,source
seawater-source,invest_costs_out_bus,-0.0,,dispatchable,water,source
seawater-source,invest_out_bus,-0.0,,dispatchable,water,source
water-storage,flow_in_bus,4.750701285,,storage,water,storage
water-storage,flow_out_bus,4.6561623,,storage,water,storage
water-storage,invest,4.7191883,,storage,water,storage
water-storage,invest_costs,58.801086218,,storage,water,storage
water-storage,invest_costs_in_bus,0.0,,storage,water,storage
water-storage,invest_costs_out_bus,0.0,,storage,water,storage
water-storage,invest_in_bus,4.7191883,,storage,water,storage
water-storage,invest_out_bus,4.7191883,,storage,water,storage
water-storage,storage_losses,0.0945389849999998,,storage,water,storage
brine-excess,flow_in_bus,90.1418075,,excess,,
permeate-demand,flow_in_bus,60.0,DE,load,,
elec-demand,flow_in_elec,120.0,DE,load,,
electricity-excess,flow_in_elec,0.0,,excess,,
system,total_system_cost,80751.25881621799,,,,
