timeindex,ghi,t_air,e,tp,windspeed,t_dp,cum_temp,f_temp,f_heat,pv_power,rad_net,g,et_p,tp_ground,runoff,deep_drain,et_a,irrigation,swc,f_drought,delta_i50b,f_solar,biomass_gen,electricity_gen,water_harvest,ghi_kW
2022-01-01T00:00:00Z,1e-10,16.36783,1e-10,1e-10,2.11893,2.19788,1e-10,0.5183915,1.0,1e-10,1e-10,1e-10,0.0603567728,1e-10,1e-10,1e-10,1e-10,1e-10,0.165,1e-10,1e-10,1,1e-10,1e-10,1e-10,1e-10
2022-01-01T01:00:00Z,1e-10,16.34314,1e-10,1e-10,2.42896,2.24634,1e-10,0.517157,1.0,1e-10,1e-10,1e-10,0.0638208468,1e-10,1e-10,1e-10,0.0638208468,0.0638208467,0.165,1.0,1e-10,1,1e-10,1e-10,1e-10,1e-10
2022-01-01T02:00:00Z,1e-10,15.45224,1e-10,1e-10,2.79072,2.20529,1e-10,0.472612,1.0,1e-10,1e-10,1e-10,0.0629202025,1e-10,1e-10,1e-10,0.0629202025,0.0629202024,0.165,1.0,1e-10,1,1e-10,1e-10,1e-10,1e-10
2022-01-01T03:00:00Z,1e-10,14.47086,1e-10,1e-10,2.95563,2.11841,1e-10,0.423543,1.0,1e-10,1e-10,1e-10,0.0592519687,1e-10,1e-10,1e-10,0.0592519687,0.0592519686,0.165,1.0,1e-10,1,1e-10,1e-10,1e-10,1e-10
2022-01-01T04:00:00Z,1e-10,13.55655,1e-10,1e-10,2.92501,1.89487,1e-10,0.3778275,1.0,1e-10,1e-10,1e-10,0.0549160554,1e-10,1e-10,1e-10,0.0549160554,0.0549160553,0.165,1.0,1e-10,1,1e-10,1e-10,1e-10,1e-10
2022-01-01T05:00:00Z,1e-10,12.61884,1e-10,1e-10,2.96934,1.81061,1e-10,0.330942,1.0,1e-10,1e-10,1e-10,0.0505484168,1e-10,1e-10,1e-10,0.0505484168,0.0505484167,0.165,1.0,1e-10,1,1e-10,1e-10,1e-10,1e-10
2022-01-01T06:00:00Z,1e-10,12.18857,1e-10,1e-10,3.06556,1.58621,1e-10,0.3094285,1.0,1e-10,1e-10,1e-10,0.049553111,1e-10,1e-10,1e-10,0.049553111,0.0495531109,0.165,1.0,1e-10,1,1e-10,1e-10,1e-10,1e-10
2022-01-01T07:00:00Z,1e-10,11.75198,1e-10,1e-10,3.09529,1.19284,1e-10,0.287599,1.0,1e-10,1e-10,1e-10,0.0487216587,1e-10,1e-10,1e-10,0.0487216587,0.0487216586,0.165,1.0,1e-10,1,1e-10,1e-10,1e-10,1e-10
2022-01-01T08:00:00Z,7.09938,11.89941,1e-10,1e-10,2.98771,0.87979,1e-10,0.2949705,1.0,4.1098141565,2.6641969659,0.2664196966,0.0511736237,1e-10,1e-10,1e-10,0.0511736237,0.0511736236,0.165,1.0,1e-10,1,0.0036741484,0.0012308976,1e-10,0.00709938
2022-01-01T09:00:00Z,131.8208,14.63348,1e-10,1e-10,2.5346,0.75974,1e-10,0.431674,1.0,74.4913499161,49.4686261904,4.946862619,0.0888170883,1e-10,1e-10,1e-10,0.0888170883,0.0888170882,0.165,1.0,1e-10,1,0.099838378,0.0223103091,1e-10,0.1318208
